step,smiles,weight,DockScore,raw_DockScore,agent_likelihood,prior_likelihood,augmented_likelihood
731.0,O=C(Nc1ccn(-c2ncccn2)n1)c1cc2cc3c(cc2[nH]c1=O)OCO3,0.929207444190979,0.92920744,-11.789,-13.292916,-36.14489,19.60755681991577
731.0,O=C(Nc1nc2ccc3oc(C4CC4)nc2c1F)c1ccc2[nH]cnc2c1,5.623410288535524e-07,5.6234103e-07,0.0,-17.14623,-50.45508,-50.45504438453827
731.0,O=C(Nc1ccc2[nH]ncc2c1)c1ccc2[nH]c(-c3cccnc3)nc2c1,0.7978509068489075,0.7978509,-10.954,-10.569298,-25.932673,21.938381910324097
731.0,NNC(=O)c1ccc(C(=O)c2ccc3nc(-c4ccccn4)ccc3c2)cc1F,0.8418759107589722,0.8418759,-11.162,-15.80503,-35.40003,15.112526416778564
731.0,O=C(Nc1ccc(-c2cccc(CO)c2)c(F)c1)c1cccc(F)c1,0.06966495513916016,0.069664955,-8.199,-20.774805,-27.802132,-23.622234344482422
731.0,O=C(Cc1ccc2ccccc2c1)Nc1cc(N2CCc3nccnc3C2)no1,0.8383969068527222,0.8383969,-11.144,-16.408577,-42.001476,8.302338123321533
731.0,O=C(NCc1ccc2c(c1)OCO2)c1nc(-c2ccc3nccnc3c2)no1,0.7350374460220337,0.73503745,-10.709,-13.900077,-30.193266,13.90898084640503
731.0,O=C(c1ccc2c(=O)n(-c3ccc4c(c3)CCCC4)cnc2c1)N1CCCCC1,0.8802304863929749,0.8802305,-11.386,-16.426577,-39.9851,12.828729391098022
731.0,O=C(Nc1ccc2c(c1)CCC2)c1ccc2nccc(-c3ccccc3)c2n1,0.13972173631191254,0.13972174,-8.737,-16.388569,-31.131828,-22.748524129390717
731.0,NNC(=O)c1ccc(-c2nc3cc(-c4cc(F)ccc4F)ccc3o2)cn1,0.7973862886428833,0.7973863,-10.952,-15.688661,-32.268723,15.57445478439331
731.0,NNC(=O)N1CCN(c2ccc(-c3ccc4c(c3)OCCCO4)cc2)CC1,0.8765411376953125,0.87654114,-11.362,-11.789099,-30.73401,21.858457565307617
731.0,O=C(Cc1ccc2c(c1)OCCCO2)N1CCN(c2cccc(F)c2)CC1,0.7677955031394958,0.7677955,-10.831,-11.56551,-29.351881,16.71584916114807
731.0,O=C(Nc1ccc2[nH]c3ccccc3c2c1)c1c[nH]c(=O)c(Cl)c1,0.07833371311426163,0.07833371,-8.287,-14.497875,-22.937828,-18.237805277109146
731.0,OC=C(Nc1ccc2[nH]nnc2c1)c1ccc(-c2ccc3cn[nH]c3c2)cc1O,0.8824875950813293,0.8824876,-11.401,-16.798841,-41.97924,10.970015287399292
731.0,NNC(=O)c1cnn(Cc2nnc(-c3ccc4ccccc4c3)o2)c1N,0.5626306533813477,0.56263065,-10.175,-17.361256,-24.866453,8.891386032104492
731.0,O=C(Nc1nnc(-c2cc3ccccc3o2)o1)c1ccc2[nH]cnc2c1,0.8296328186988831,0.8296328,-11.1,-10.2548685,-24.00184,25.77612853050232
731.0,NNC(=O)C1CCN(c2nc3ccc(C(=O)N4CCCCC4)cc3o2)CC1,0.8151350617408752,0.81513506,-11.031,-17.053545,-32.253372,16.654731512069702
731.0,NNC(=O)c1cc(-c2nc(-c3ccc4c(c3)CCCC4)no2)ncc1O,0.8334628343582153,0.83346283,-11.119,-13.125526,-33.09045,16.917319774627686
731.0,NOC(=O)c1cc2cc(-c3nc4ccc(F)cc4cc3O)ccc2nc1N,0.6869195699691772,0.68691957,-10.546,-18.688534,-40.863888,0.3512864112854004
731.0,O=C(Cc1ccc2ccccc2c1)N1CCc2ncc(-c3cccnc3)nc2C1,0.8709861636161804,0.87098616,-11.327,-15.132959,-39.336594,12.922576189041138
731.0,NNC(=O)c1cccc(Oc2ccc(-c3ccc4ccccc4c3)cc2)c1,0.801996648311615,0.80199665,-10.972,-11.669805,-29.011082,19.10871720314026
731.0,O=C(Nc1cccc(-c2ccc3cccnc3n2)c1)c1ccc2nncn2c1,0.8217634558677673,0.82176346,-11.062,-11.01355,-29.648499,19.65730881690979
731.0,O=C(Nc1ccc2[nH]c(=O)[nH]c2c1)c1ccc(-n2cnc3ccccc32)cc1,0.8136122226715088,0.8136122,-11.024,-9.264361,-19.16547,29.65126323699951
731.0,O=C(Nc1cc(-c2ccccc2)on1)c1ccc2nc3c(cc2c1)COCO3,0.8300392627716064,0.83003926,-11.102,-16.805094,-42.937008,6.865347862243652
731.0,O=C(CCc1ccc2ccccc2c1)Nc1ccc2[nH]ncc2c1,0.429947167634964,0.42994717,-9.804,-12.587907,-20.263187,5.533642649650574
